;Q56;Q59;Q62;Q64;Q66;Q67;Q68;Q70;Q72;Q75;Q80;Q46^Q57;Q53^Q54;
Q56;0;0,7920022;0,71642166;0,6685123;0,7432849;0,7141397;0,75388324;0,7775841;0,87576646;0,94601816;0,93925655;0,8028739;0,7652571;
Q59;0,7920022;0;0,7248908;0,803351;0,8347537;0,7348276;0,8252001;0,79144657;0,9207973;0,94214875;0,940523;0,8883104;0,76921356;
Q62;0,71642166;0,7248908;0;0,71057045;0,76222134;0,7379171;0,77718526;0,7568054;0,8833449;0,93875176;0,9270369;0,8368107;0,8090707;
Q64;0,6685123;0,803351;0,71057045;0;0,6781632;0,72675025;0,75340396;0,7503113;0,85419357;0,91177106;0,9307479;0,80799913;0,8333837;
Q66;0,7432849;0,8347537;0,76222134;0,6781632;0;0,7571358;0,7841491;0,79825073;0,8943548;0,9378692;0,9485593;0,75786316;0,8506588;
Q67;0,7141397;0,7348276;0,7379171;0,72675025;0,7571358;0;0,7172657;0,72462463;0,8462289;0,93634295;0,9223953;0,8755137;0,7441193;
Q68;0,75388324;0,8252001;0,77718526;0,75340396;0,7841491;0,7172657;0;0,7420382;0,87664974;0,9414609;0,9312077;0,88870966;0,8281666;
Q70;0,7775841;0,79144657;0,7568054;0,7503113;0,79825073;0,72462463;0,7420382;0;0,7895553;0,9345094;0,87143487;0,85895485;0,8186595;
Q72;0,87576646;0,9207973;0,8833449;0,85419357;0,8943548;0,8462289;0,87664974;0,7895553;0;0,811557;0,7583799;0,89688456;0,9025618;
Q75;0,94601816;0,94214875;0,93875176;0,91177106;0,9378692;0,93634295;0,9414609;0,9345094;0,811557;0;0,73580325;0,9582126;0,93022394;
Q80;0,93925655;0,940523;0,9270369;0,9307479;0,9485593;0,9223953;0,9312077;0,87143487;0,7583799;0,73580325;0;0,93924826;0,9367677;
Q46^Q57;0,8028739;0,8883104;0,8368107;0,80799913;0,75786316;0,8755137;0,88870966;0,85895485;0,89688456;0,9582126;0,93924826;0;0,87552583;
Q53^Q54;0,7652571;0,76921356;0,8090707;0,8333837;0,8506588;0,7441193;0,8281666;0,8186595;0,9025618;0,93022394;0,9367677;0,87552583;0;
