;Q59;Q62;Q66;Q67;Q68;Q70;Q72;Q75;Q80;Q46^Q57;Q53^Q54;Q56^Q64;
Q59;0;0,7248908;0,8347537;0,7348276;0,8252001;0,79144657;0,9207973;0,94214875;0,940523;0,8883104;0,76921356;0,79767656;
Q62;0,7248908;0;0,76222134;0,7379171;0,77718526;0,7568054;0,8833449;0,93875176;0,9270369;0,8368107;0,8090707;0,7134961;
Q66;0,8347537;0,76222134;0;0,7571358;0,7841491;0,79825073;0,8943548;0,9378692;0,9485593;0,75786316;0,8506588;0,710724;
Q67;0,7348276;0,7379171;0,7571358;0;0,7172657;0,72462463;0,8462289;0,93634295;0,9223953;0,8755137;0,7441193;0,720445;
Q68;0,8252001;0,77718526;0,7841491;0,7172657;0;0,7420382;0,87664974;0,9414609;0,9312077;0,88870966;0,8281666;0,75364363;
Q70;0,79144657;0,7568054;0,79825073;0,72462463;0,7420382;0;0,7895553;0,9345094;0,87143487;0,85895485;0,8186595;0,7639477;
Q72;0,9207973;0,8833449;0,8943548;0,8462289;0,87664974;0,7895553;0;0,811557;0,7583799;0,89688456;0,9025618;0,86498;
Q75;0,94214875;0,93875176;0,9378692;0,93634295;0,9414609;0,9345094;0,811557;0;0,73580325;0,9582126;0,93022394;0,92889464;
Q80;0,940523;0,9270369;0,9485593;0,9223953;0,9312077;0,87143487;0,7583799;0,73580325;0;0,93924826;0,9367677;0,9350022;
Q46^Q57;0,8883104;0,8368107;0,75786316;0,8755137;0,88870966;0,85895485;0,89688456;0,9582126;0,93924826;0;0,87552583;0,8054365;
Q53^Q54;0,76921356;0,8090707;0,8506588;0,7441193;0,8281666;0,8186595;0,9025618;0,93022394;0,9367677;0,87552583;0;0,7993204;
Q56^Q64;0,79767656;0,7134961;0,710724;0,720445;0,75364363;0,7639477;0,86498;0,92889464;0,9350022;0,8054365;0,7993204;0;
