;Q59;Q62;Q67;Q68;Q70;Q72;Q75;Q80;Q46^Q57;Q53^Q54;Q66^Q56^Q64;
Q59;0;0,7248908;0,7348276;0,8252001;0,79144657;0,9207973;0,94214875;0,940523;0,8883104;0,76921356;0,81621516;
Q62;0,7248908;0;0,7379171;0,77718526;0,7568054;0,8833449;0,93875176;0,9270369;0,8368107;0,8090707;0,7378587;
Q67;0,7348276;0,7379171;0;0,7172657;0,72462463;0,8462289;0,93634295;0,9223953;0,8755137;0,7441193;0,7387904;
Q68;0,8252001;0,77718526;0,7172657;0;0,7420382;0,87664974;0,9414609;0,9312077;0,88870966;0,8281666;0,76889634;
Q70;0,79144657;0,7568054;0,72462463;0,7420382;0;0,7895553;0,9345094;0,87143487;0,85895485;0,8186595;0,7810992;
Q72;0,9207973;0,8833449;0,8462289;0,87664974;0,7895553;0;0,811557;0,7583799;0,89688456;0,9025618;0,8796674;
Q75;0,94214875;0,93875176;0,93634295;0,9414609;0,9345094;0,811557;0;0,73580325;0,9582126;0,93022394;0,9333819;
Q80;0,940523;0,9270369;0,9223953;0,9312077;0,87143487;0,7583799;0,73580325;0;0,93924826;0,9367677;0,94178075;
Q46^Q57;0,8883104;0,8368107;0,8755137;0,88870966;0,85895485;0,89688456;0,9582126;0,93924826;0;0,87552583;0,7816498;
Q53^Q54;0,76921356;0,8090707;0,7441193;0,8281666;0,8186595;0,9025618;0,93022394;0,9367677;0,87552583;0;0,82498956;
Q66^Q56^Q64;0,81621516;0,7378587;0,7387904;0,76889634;0,7810992;0,8796674;0,9333819;0,94178075;0,7816498;0,82498956;0;
