;Human;Dog;DaimonBeta;DaimonDelta;DaimonEpsilon;DaimonGamma;DaimonTurretCompoun;DaimonZeta;Ichthyos;Larva;Teuthus;TrailerBeta;Vermis;VermisChild;DaimonBladeLauncher^DaimonEta^DaimonEtaLaser^DaimonEtaProjectile^DaimonKnight^DaimonLightning^DaimonLightningLase^DaimonLightningSpik^DaimonMobulaProject^DaimonMobulaLaser^DaimonMobulaBolt^DaimonMobulaBlade^DaimonObstacle^DaimonObstacleBolt^DaimonObstacleLaser^DaimonObstacleMissi^DaimonObstacleProje^DaimonObstacleSpike^DaimonSpike^DaimonSwarm^DaimonTrial^DaimonTurretBlade^DaimonTurretLaser^DaimonTurretMissile^DaimonTurretProject^DroneAlpha^DroneAlphaLaser^DroneAlphaSpike^DroneBeta^TrailerAlpha^WingAlpha^DaimonAlpha^DaimonBlade;
Human;0;1;0,5166667;1;1;1;0,5166667;1;0,925;0,675;1;0,675;0,5957895;0,55;0,484375;
Dog;1;0;0,5;1;1;1;0,5;1;0,9333333;0,6933333;1;0,6933333;0,5452632;0,5822222;0,48250002;
DaimonBeta;0,5166667;0,5;0;0,4666666;0,3555556;0,6;0,7333333;0,5466667;0,8333334;0,6333333;0,5916666;0,6333333;0,5649123;0,4041666;0,46249998;
DaimonDelta;1;1;0,4666666;0;1;1;0,4666666;1;0,8;0,5833334;1;0,5833334;0,5952632;0,64375;0,47500002;
DaimonEpsilon;1;1;0,3555556;1;0;1;0,3555555;1;0,8666666;0,6555555;1;0,6555555;0,5684211;0,6125;0,47500002;
DaimonGamma;1;1;0,6;1;1;0;0,6;1;0,7666667;0,5333334;1;0,5333334;0,6936842;0,6375;0,46249998;
DaimonTurretCompoun;0,5166667;0,5;0,7333333;0,4666666;0,3555555;0,6;0;0,5466667;0,8333334;0,6333333;0,5916666;0,6333333;0,5649123;0,4041666;0,46249998;
DaimonZeta;1;1;0,5466667;1;1;1;0,5466667;0;0,9200001;0,7133334;1;0,7133334;0,5936843;0,6175;0,47500002;
Ichthyos;0,925;0,9333333;0,8333334;0,8;0,8666666;0,7666667;0,8333334;0,9200001;0;0,5;1;0,5;0,7684211;0,525;0,50625;
Larva;0,675;0,6933333;0,6333333;0,5833334;0,6555555;0,5333334;0,6333333;0,7133334;0,5;0;0,7125;0,5333334;0,5231579;0,5;0,44375002;
Teuthus;1;1;0,5916666;1;1;1;0,5916666;1;1;0,7125;0;0,7125;0,591579;0,65;0,5;
TrailerBeta;0,675;0,6933333;0,6333333;0,5833334;0,6555555;0,5333334;0,6333333;0,7133334;0,5;0,5333334;0,7125;0;0,5231579;0,5;0,44375002;
Vermis;0,5957895;0,5452632;0,5649123;0,5952632;0,5684211;0,6936842;0,5649123;0,5936843;0,7684211;0,5231579;0,591579;0,5231579;0;0,4705263;0,48000002;
VermisChild;0,55;0,5822222;0,4041666;0,64375;0,6125;0,6375;0,4041666;0,6175;0,525;0,5;0,65;0,5;0,4705263;0;0,44375002;
DaimonBladeLauncher^DaimonEta^DaimonEtaLaser^DaimonEtaProjectile^DaimonKnight^DaimonLightning^DaimonLightningLase^DaimonLightningSpik^DaimonMobulaProject^DaimonMobulaLaser^DaimonMobulaBolt^DaimonMobulaBlade^DaimonObstacle^DaimonObstacleBolt^DaimonObstacleLaser^DaimonObstacleMissi^DaimonObstacleProje^DaimonObstacleSpike^DaimonSpike^DaimonSwarm^DaimonTrial^DaimonTurretBlade^DaimonTurretLaser^DaimonTurretMissile^DaimonTurretProject^DroneAlpha^DroneAlphaLaser^DroneAlphaSpike^DroneBeta^TrailerAlpha^WingAlpha^DaimonAlpha^DaimonBlade;0,484375;0,48250002;0,46249998;0,47500002;0,47500002;0,46249998;0,46249998;0,47500002;0,50625;0,44375002;0,5;0,44375002;0,48000002;0,44375002;0;
