;Human;Dog;DaimonDelta;DaimonGamma;DaimonTurretCompoun;DaimonZeta;Ichthyos;Larva;Teuthus;TrailerBeta;Vermis;VermisChild;DaimonBladeLauncher^DaimonEta^DaimonEtaLaser^DaimonEtaProjectile^DaimonKnight^DaimonLightning^DaimonLightningLase^DaimonLightningSpik^DaimonMobulaProject^DaimonMobulaLaser^DaimonMobulaBolt^DaimonMobulaBlade^DaimonObstacle^DaimonObstacleBolt^DaimonObstacleLaser^DaimonObstacleMissi^DaimonObstacleProje^DaimonObstacleSpike^DaimonSpike^DaimonSwarm^DaimonTrial^DaimonTurretBlade^DaimonTurretLaser^DaimonTurretMissile^DaimonTurretProject^DroneAlpha^DroneAlphaLaser^DroneAlphaSpike^DroneBeta^TrailerAlpha^WingAlpha^DaimonAlpha^DaimonBlade;DaimonBeta^DaimonEpsilon;
Human;0;1;1;1;0,5166667;1;0,925;0,675;1;0,675;0,5957895;0,55;0,484375;0,7583333;
Dog;1;0;1;1;0,5;1;0,9333333;0,6933333;1;0,6933333;0,5452632;0,5822222;0,48250002;0,75;
DaimonDelta;1;1;0;1;0,4666666;1;0,8;0,5833334;1;0,5833334;0,5952632;0,64375;0,47500002;0,7333333;
DaimonGamma;1;1;1;0;0,6;1;0,7666667;0,5333334;1;0,5333334;0,6936842;0,6375;0,46249998;0,8;
DaimonTurretCompoun;0,5166667;0,5;0,4666666;0,6;0;0,5466667;0,8333334;0,6333333;0,5916666;0,6333333;0,5649123;0,4041666;0,46249998;0,5444444;
DaimonZeta;1;1;1;1;0,5466667;0;0,9200001;0,7133334;1;0,7133334;0,5936843;0,6175;0,47500002;0,7733333;
Ichthyos;0,925;0,9333333;0,8;0,7666667;0,8333334;0,9200001;0;0,5;1;0,5;0,7684211;0,525;0,50625;0,85;
Larva;0,675;0,6933333;0,5833334;0,5333334;0,6333333;0,7133334;0,5;0;0,7125;0,5333334;0,5231579;0,5;0,44375002;0,6444444;
Teuthus;1;1;1;1;0,5916666;1;1;0,7125;0;0,7125;0,591579;0,65;0,5;0,7958333;
TrailerBeta;0,675;0,6933333;0,5833334;0,5333334;0,6333333;0,7133334;0,5;0,5333334;0,7125;0;0,5231579;0,5;0,44375002;0,6444444;
Vermis;0,5957895;0,5452632;0,5952632;0,6936842;0,5649123;0,5936843;0,7684211;0,5231579;0,591579;0,5231579;0;0,4705263;0,48000002;0,5666667;
VermisChild;0,55;0,5822222;0,64375;0,6375;0,4041666;0,6175;0,525;0,5;0,65;0,5;0,4705263;0;0,44375002;0,5083333;
DaimonBladeLauncher^DaimonEta^DaimonEtaLaser^DaimonEtaProjectile^DaimonKnight^DaimonLightning^DaimonLightningLase^DaimonLightningSpik^DaimonMobulaProject^DaimonMobulaLaser^DaimonMobulaBolt^DaimonMobulaBlade^DaimonObstacle^DaimonObstacleBolt^DaimonObstacleLaser^DaimonObstacleMissi^DaimonObstacleProje^DaimonObstacleSpike^DaimonSpike^DaimonSwarm^DaimonTrial^DaimonTurretBlade^DaimonTurretLaser^DaimonTurretMissile^DaimonTurretProject^DroneAlpha^DroneAlphaLaser^DroneAlphaSpike^DroneBeta^TrailerAlpha^WingAlpha^DaimonAlpha^DaimonBlade;0,484375;0,48250002;0,47500002;0,46249998;0,46249998;0,47500002;0,50625;0,44375002;0,5;0,44375002;0,48000002;0,44375002;0;0,46875;
DaimonBeta^DaimonEpsilon;0,7583333;0,75;0,7333333;0,8;0,5444444;0,7733333;0,85;0,6444444;0,7958333;0,6444444;0,5666667;0,5083333;0,46875;0;
