;Human;Dog;DaimonDelta;DaimonGamma;DaimonZeta;Ichthyos;Teuthus;TrailerBeta;Vermis;DaimonBeta^DaimonEpsilon;DaimonTurretCompoun^VermisChild;Larva^DaimonBladeLauncher^DaimonEta^DaimonEtaLaser^DaimonEtaProjectile^DaimonKnight^DaimonLightning^DaimonLightningLase^DaimonLightningSpik^DaimonMobulaProject^DaimonMobulaLaser^DaimonMobulaBolt^DaimonMobulaBlade^DaimonObstacle^DaimonObstacleBolt^DaimonObstacleLaser^DaimonObstacleMissi^DaimonObstacleProje^DaimonObstacleSpike^DaimonSpike^DaimonSwarm^DaimonTrial^DaimonTurretBlade^DaimonTurretLaser^DaimonTurretMissile^DaimonTurretProject^DroneAlpha^DroneAlphaLaser^DroneAlphaSpike^DroneBeta^TrailerAlpha^WingAlpha^DaimonAlpha^DaimonBlade;
Human;0;1;1;1;1;0,925;1;0,675;0,5957895;0,7583333;0,53333336;0,5796875;
Dog;1;0;1;1;1;0,9333333;1;0,6933333;0,5452632;0,75;0,5411111;0,5879167;
DaimonDelta;1;1;0;1;1;0,8;1;0,5833334;0,5952632;0,7333333;0,5552083;0,5291667;
DaimonGamma;1;1;1;0;1;0,7666667;1;0,5333334;0,6936842;0,8;0,61875;0,4979167;
DaimonZeta;1;1;1;1;0;0,9200001;1;0,7133334;0,5936843;0,7733333;0,58208334;0,59416676;
Ichthyos;0,925;0,9333333;0,8;0,7666667;0,9200001;0;1;0,5;0,7684211;0,85;0,6791667;0,503125;
Teuthus;1;1;1;1;1;1;0;0,7125;0,591579;0,7958333;0,6208333;0,60625;
TrailerBeta;0,675;0,6933333;0,5833334;0,5333334;0,7133334;0,5;0,7125;0;0,5231579;0,6444444;0,56666666;0,48854172;
Vermis;0,5957895;0,5452632;0,5952632;0,6936842;0,5936843;0,7684211;0,591579;0,5231579;0;0,5666667;0,5177193;0,5015789;
DaimonBeta^DaimonEpsilon;0,7583333;0,75;0,7333333;0,8;0,7733333;0,85;0,7958333;0,6444444;0,5666667;0;0,5263889;0,55659723;
DaimonTurretCompoun^VermisChild;0,53333336;0,5411111;0,5552083;0,61875;0,58208334;0,6791667;0,6208333;0,56666666;0,5177193;0,5263889;0;0,5098958;
Larva^DaimonBladeLauncher^DaimonEta^DaimonEtaLaser^DaimonEtaProjectile^DaimonKnight^DaimonLightning^DaimonLightningLase^DaimonLightningSpik^DaimonMobulaProject^DaimonMobulaLaser^DaimonMobulaBolt^DaimonMobulaBlade^DaimonObstacle^DaimonObstacleBolt^DaimonObstacleLaser^DaimonObstacleMissi^DaimonObstacleProje^DaimonObstacleSpike^DaimonSpike^DaimonSwarm^DaimonTrial^DaimonTurretBlade^DaimonTurretLaser^DaimonTurretMissile^DaimonTurretProject^DroneAlpha^DroneAlphaLaser^DroneAlphaSpike^DroneBeta^TrailerAlpha^WingAlpha^DaimonAlpha^DaimonBlade;0,5796875;0,5879167;0,5291667;0,4979167;0,59416676;0,503125;0,60625;0,48854172;0,5015789;0,55659723;0,5098958;0;
