;Human;Dog;DaimonDelta;DaimonGamma;DaimonZeta;Ichthyos;Teuthus;Vermis;DaimonBeta^DaimonEpsilon;DaimonTurretCompoun^VermisChild;TrailerBeta^Larva^DaimonBladeLauncher^DaimonEta^DaimonEtaLaser^DaimonEtaProjectile^DaimonKnight^DaimonLightning^DaimonLightningLase^DaimonLightningSpik^DaimonMobulaProject^DaimonMobulaLaser^DaimonMobulaBolt^DaimonMobulaBlade^DaimonObstacle^DaimonObstacleBolt^DaimonObstacleLaser^DaimonObstacleMissi^DaimonObstacleProje^DaimonObstacleSpike^DaimonSpike^DaimonSwarm^DaimonTrial^DaimonTurretBlade^DaimonTurretLaser^DaimonTurretMissile^DaimonTurretProject^DroneAlpha^DroneAlphaLaser^DroneAlphaSpike^DroneBeta^TrailerAlpha^WingAlpha^DaimonAlpha^DaimonBlade;
Human;0;1;1;1;1;0,925;1;0,5957895;0,7583333;0,53333336;0,6273438;
Dog;1;0;1;1;1;0,9333333;1;0,5452632;0,75;0,5411111;0,640625;
DaimonDelta;1;1;0;1;1;0,8;1;0,5952632;0,7333333;0,5552083;0,55625004;
DaimonGamma;1;1;1;0;1;0,7666667;1;0,6936842;0,8;0,61875;0,51562506;
DaimonZeta;1;1;1;1;0;0,9200001;1;0,5936843;0,7733333;0,58208334;0,65375006;
Ichthyos;0,925;0,9333333;0,8;0,7666667;0,9200001;0;1;0,7684211;0,85;0,6791667;0,5015625;
Teuthus;1;1;1;1;1;1;0;0,591579;0,7958333;0,6208333;0,65937495;
Vermis;0,5957895;0,5452632;0,5952632;0,6936842;0,5936843;0,7684211;0,591579;0;0,5666667;0,5177193;0,51236844;
DaimonBeta^DaimonEpsilon;0,7583333;0,75;0,7333333;0,8;0,7733333;0,85;0,7958333;0,5666667;0;0,5263889;0,60052085;
DaimonTurretCompoun^VermisChild;0,53333336;0,5411111;0,5552083;0,61875;0,58208334;0,6791667;0,6208333;0,5177193;0,5263889;0;0,5382812;
TrailerBeta^Larva^DaimonBladeLauncher^DaimonEta^DaimonEtaLaser^DaimonEtaProjectile^DaimonKnight^DaimonLightning^DaimonLightningLase^DaimonLightningSpik^DaimonMobulaProject^DaimonMobulaLaser^DaimonMobulaBolt^DaimonMobulaBlade^DaimonObstacle^DaimonObstacleBolt^DaimonObstacleLaser^DaimonObstacleMissi^DaimonObstacleProje^DaimonObstacleSpike^DaimonSpike^DaimonSwarm^DaimonTrial^DaimonTurretBlade^DaimonTurretLaser^DaimonTurretMissile^DaimonTurretProject^DroneAlpha^DroneAlphaLaser^DroneAlphaSpike^DroneBeta^TrailerAlpha^WingAlpha^DaimonAlpha^DaimonBlade;0,6273438;0,640625;0,55625004;0,51562506;0,65375006;0,5015625;0,65937495;0,51236844;0,60052085;0,5382812;0;
