;Human;Dog;DaimonDelta;DaimonGamma;DaimonZeta;Teuthus;Vermis;DaimonBeta^DaimonEpsilon;DaimonTurretCompoun^VermisChild;Ichthyos^TrailerBeta^Larva^DaimonBladeLauncher^DaimonEta^DaimonEtaLaser^DaimonEtaProjectile^DaimonKnight^DaimonLightning^DaimonLightningLase^DaimonLightningSpik^DaimonMobulaProject^DaimonMobulaLaser^DaimonMobulaBolt^DaimonMobulaBlade^DaimonObstacle^DaimonObstacleBolt^DaimonObstacleLaser^DaimonObstacleMissi^DaimonObstacleProje^DaimonObstacleSpike^DaimonSpike^DaimonSwarm^DaimonTrial^DaimonTurretBlade^DaimonTurretLaser^DaimonTurretMissile^DaimonTurretProject^DroneAlpha^DroneAlphaLaser^DroneAlphaSpike^DroneBeta^TrailerAlpha^WingAlpha^DaimonAlpha^DaimonBlade;
Human;0;1;1;1;1;1;0,5957895;0,7583333;0,53333336;0,7761719;
Dog;1;0;1;1;1;1;0,5452632;0,75;0,5411111;0,78697914;
DaimonDelta;1;1;0;1;1;1;0,5952632;0,7333333;0,5552083;0,678125;
DaimonGamma;1;1;1;0;1;1;0,6936842;0,8;0,61875;0,6411459;
DaimonZeta;1;1;1;1;0;1;0,5936843;0,7733333;0,58208334;0,78687507;
Teuthus;1;1;1;1;1;0;0,591579;0,7958333;0,6208333;0,8296875;
Vermis;0,5957895;0,5452632;0,5952632;0,6936842;0,5936843;0,591579;0;0,5666667;0,5177193;0,6403948;
DaimonBeta^DaimonEpsilon;0,7583333;0,75;0,7333333;0,8;0,7733333;0,7958333;0,5666667;0;0,5263889;0,72526044;
DaimonTurretCompoun^VermisChild;0,53333336;0,5411111;0,5552083;0,61875;0,58208334;0,6208333;0,5177193;0,5263889;0;0,60872394;
Ichthyos^TrailerBeta^Larva^DaimonBladeLauncher^DaimonEta^DaimonEtaLaser^DaimonEtaProjectile^DaimonKnight^DaimonLightning^DaimonLightningLase^DaimonLightningSpik^DaimonMobulaProject^DaimonMobulaLaser^DaimonMobulaBolt^DaimonMobulaBlade^DaimonObstacle^DaimonObstacleBolt^DaimonObstacleLaser^DaimonObstacleMissi^DaimonObstacleProje^DaimonObstacleSpike^DaimonSpike^DaimonSwarm^DaimonTrial^DaimonTurretBlade^DaimonTurretLaser^DaimonTurretMissile^DaimonTurretProject^DroneAlpha^DroneAlphaLaser^DroneAlphaSpike^DroneBeta^TrailerAlpha^WingAlpha^DaimonAlpha^DaimonBlade;0,7761719;0,78697914;0,678125;0,6411459;0,78687507;0,8296875;0,6403948;0,72526044;0,60872394;0;
