;Q59;Q62;Q70;Q72;Q75;Q80;Q46^Q57;Q53^Q54;Q66^Q56^Q64;Q67^Q68;
Q59;0;0,7248908;0,79144657;0,9207973;0,94214875;0,940523;0,8883104;0,76921356;0,81621516;0,7800138;
Q62;0,7248908;0;0,7568054;0,8833449;0,93875176;0,9270369;0,8368107;0,8090707;0,7378587;0,7575512;
Q70;0,79144657;0,7568054;0;0,7895553;0,9345094;0,87143487;0,85895485;0,8186595;0,7810992;0,73333144;
Q72;0,9207973;0,8833449;0,7895553;0;0,811557;0,7583799;0,89688456;0,9025618;0,8796674;0,86143935;
Q75;0,94214875;0,93875176;0,9345094;0,811557;0;0,73580325;0,9582126;0,93022394;0,9333819;0,9389019;
Q80;0,940523;0,9270369;0,87143487;0,7583799;0,73580325;0;0,93924826;0,9367677;0,94178075;0,9268015;
Q46^Q57;0,8883104;0,8368107;0,85895485;0,89688456;0,9582126;0,93924826;0;0,87552583;0,7816498;0,88211167;
Q53^Q54;0,76921356;0,8090707;0,8186595;0,9025618;0,93022394;0,9367677;0,87552583;0;0,82498956;0,78614295;
Q66^Q56^Q64;0,81621516;0,7378587;0,7810992;0,8796674;0,9333819;0,94178075;0,7816498;0,82498956;0;0,75384337;
Q67^Q68;0,7800138;0,7575512;0,73333144;0,86143935;0,9389019;0,9268015;0,88211167;0,78614295;0,75384337;0;
