;Q00_TESTING_Q62;Q46_KAOHSIUNG;Q53_UTRECHT;Q54_LUXEMBURGO;Q56_CANBERRA;Q57_NEWCASTLE;Q59_AMSTERDAM;Q62_DE LIJN WEST FLANDERS;Q64_MAURITIUS;Q66_VITORIA;Q67_LUND;Q68_OSLO;Q70_PARRAMATA;Q72_BIRMINGHAM_3GT;Q75_LISBOA;Q80_MULTIOFERTA
ACTIVE_AT;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
ACTIVE_AX;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
ACTIVE_CheckCosmos;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
Start_ACTIVE_CheckCosmos;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
CosmosStatus_ACTIVE_CheckCosmos;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
GwsAreOK_ACTIVE_CheckCosmos;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
trainbus_fnLRS_ACTIVE_CheckCosmos;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
Address_ACTIVE_CheckCosmos;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
ReadHeartBeats_ACTIVE_CheckCosmos;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
CCVarQualityReset_ACTIVE_CheckCosmos;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
RefreshAdmVars_ACTIVE_CheckCosmos;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
AdmsAreOK_ACTIVE_CheckCosmos;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
CcusAreOK_ACTIVE_CheckCosmos;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
fnLRS_ACTIVE_CheckCosmos;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
TrazasDepuracion_ACTIVE_CheckCosmos;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
PrintTrazas_ACTIVE_CheckCosmos;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
ACTIVE_CM;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
ACTIVE_CV;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
ACTIVE_EC;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
ACTIVE_EQ;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
ACTIVE_EV1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
ACTIVE_EV2;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
ACTIVE_EV3;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
ACTIVE_EV4;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
ACTIVE_GE;1;1;0;1;1;1;1;1;1;0;0;1;1;0;0;0
ACTIVE_GW;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
ACTIVE_HMI;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
ACTIVE_IL;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
ACTIVE_LZ;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
ACTIVE_MT;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
ACTIVE_PU;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
ACTIVE_RG;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
ACTIVE_SC;1;1;0;1;0;1;1;1;1;0;1;1;1;0;0;0
ACTIVE_SIV;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0
main;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Background;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
EXECUTE_PASSIVE_BLOCK_8;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
EXECUTE_PASSIVE_BLOCK_16;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
EXECUTE_PASSIVE_BLOCK_32;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
EXECUTE_PASSIVE_BLOCK_64;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
EXECUTE_PASSIVE_BLOCK_128;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
EXECUTE_PASSIVE_BLOCK_256;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
EXECUTE_PASSIVE_BLOCK_512;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
EXECUTE_PASSIVE_BLOCK_1024;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
EXECUTE_PASSIVE_NON_SUPPORTED_BLOCKS;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
EXECUTE_ACTIVE_BLOCK_8;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
EXECUTE_ACTIVE_BLOCK_16;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
EXECUTE_ACTIVE_BLOCK_32;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
EXECUTE_ACTIVE_BLOCK_64;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
EXECUTE_ACTIVE_BLOCK_128;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
EXECUTE_ACTIVE_BLOCK_256;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
EXECUTE_ACTIVE_BLOCK_512;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
EXECUTE_ACTIVE_BLOCK_1024;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
EXECUTE_ACTIVE_NON_SUPPORTED_BLOCKS;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
CCU_DRS_INIT;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
CCU_GO_TO_SHUTDOWN;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
CCU_REQUEST_REDUNDANT_DATA;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
MonVarInit;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
PASSIVE_AT;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
PASSIVE_AX;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
PASSIVE_CheckCosmos;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
PASSIVE_CM;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
PASSIVE_CV;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
PASSIVE_EC;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
PASSIVE_EQ;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
PASSIVE_EV1;1;0;1;1;1;1;1;1;1;1;1;0;1;0;0;0
PASSIVE_EV2;1;0;1;1;1;1;1;1;1;1;1;0;1;0;0;0
PASSIVE_EV3;1;0;1;1;1;1;1;1;1;1;1;0;1;0;0;0
PASSIVE_EV4;1;0;1;1;1;1;1;1;1;1;1;0;1;0;0;0
PASSIVE_GE;1;0;0;1;1;1;0;1;1;0;0;1;1;0;0;0
PASSIVE_GW;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
PASSIVE_HMI;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
PASSIVE_IL;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
PASSIVE_LZ;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
PASSIVE_MT;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
PASSIVE_PU;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
PASSIVE_RG;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0
