;USER_TASK_AT;USER_TASK_AX;USER_TASK_CM;USER_TASK_CV;USER_TASK_EC;USER_TASK_EQ;USER_TASK_EV1;USER_TASK_EV2;USER_TASK_EV3;USER_TASK_EV4;USER_TASK_EV5;USER_TASK_EV6;USER_TASK_GE;USER_TASK_GW;USER_TASK_HMI;USER_TASK_IL;USER_TASK_LZ;USER_TASK_MT;AUTO_init_user_app;AUTO_TASK_init_AT;AUTO_TASK_AT;AUTO_TASK_init_AX;AUTO_TASK_AX;AUTO_TASK_init_CheckCosmos;AUTO_TASK_init_CM;AUTO_TASK_CM;AUTO_TASK_init_CV;AUTO_TASK_CV;AUTO_TASK_init_EC;AUTO_TASK_EC;AUTO_TASK_init_EQ;AUTO_TASK_EQ;AUTO_TASK_init_EV1;AUTO_TASK_EV1;AUTO_TASK_init_EV2;AUTO_TASK_EV2;AUTO_TASK_init_EV3;AUTO_TASK_EV3;AUTO_TASK_init_EV4;AUTO_TASK_EV4;AUTO_TASK_init_EV5;AUTO_TASK_EV5;AUTO_TASK_init_EV6;AUTO_TASK_EV6;AUTO_TASK_init_GE;AUTO_TASK_GE;AUTO_TASK_init_GW;AUTO_TASK_GW;AUTO_TASK_init_HMI;AUTO_TASK_HMI;AUTO_TASK_init_IL;AUTO_TASK_IL;AUTO_TASK_init_LZ;AUTO_TASK_LZ;main;get_fwk_id;AUTO_TASK_init_MT;AUTO_TASK_MT;AUTO_TASK_init_PIL;AUTO_TASK_PIL;AUTO_TASK_init_PU;AUTO_TASK_PU;AUTO_TASK_init_RG;AUTO_TASK_RG;AUTO_TASK_init_SC;AUTO_TASK_SC;AUTO_TASK_init_SIV;AUTO_TASK_SIV;USER_TASK_PIL;USER_TASK_PU;getLastSunday;IsDST;USER_TASK_RG;USER_TASK_SC;USER_TASK_SIV;UserInit;Init_SIV;Init_EQ;Init_GW;Init_LZ;Init_CM;Init_PU;Init_EV1;Init_HMI;Init_MT;Init_AX;Init_SC;SC_LOC_EST_Inicializacion;SC_LOC_PROT_Inicializacion
USER_TASK_AT;0;0,9933993;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,9939577;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
USER_TASK_AX;0,9933993;0;0,9890511;0,9877676;0,99635035;0,9880952;0,99025977;0,99068326;0,98723406;0,987013;0,99065423;1;1;1;0,98689955;1;0,98373985;0,9837963;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,974359;1;1;0,989011;0,98447895;0,9856322;1;1;1;1;1;1;1;1;1;1;0,995671;0,98190045;0,99570817;1
USER_TASK_CM;1;0,9890511;0;0,994382;0,983871;0,969697;0,9806452;0,98224854;0,9634146;0,96153843;0,98214287;1;1;1;0,9870968;1;0,9770642;0,9858657;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,9852941;1;1;0,975;0,98675495;0,9747475;1;1;1;1;1;1;1;1;1;1;0,987013;0,95714283;0,974359;1
USER_TASK_CV;1;0,9877676;0,994382;0;0,98870057;0,98717946;0,990566;0,99115044;0,9856115;0,9851852;0,9911111;1;1;1;0,9917582;1;0,9890909;0,9911765;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,98062015;1;1;0,98870057;0,9887955;0,992126;1;1;1;1;1;1;1;1;1;1;1;0,984;1;1
USER_TASK_EC;1;0,99635035;0,983871;0,98870057;0;0,99019605;0,9936709;0,9823529;0,9882353;0,9876543;0,99415207;1;1;1;0,99680513;0,9925926;0,990991;0,993007;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,98536587;1;1;0,9918699;0,9867987;0,99;1;1;1;1;1;1;1;1;1;1;1;0,98630136;1;1
USER_TASK_EQ;1;0,9880952;0,969697;0,98717946;0,99019605;0;0,96240604;0,9659864;0,9166667;0,91071427;0,96575344;1;1;1;0,9861111;1;0,989899;0,98479086;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,97252744;1;1;0,9489796;0,98214287;0,97727275;1;1;1;1;1;1;1;1;1;1;1;0,9375;0,98275864;1
USER_TASK_EV1;1;0,99025977;0,9806452;0,990566;0,9936709;0,96240604;0;0,9441624;0,95614034;0,95454544;0,975;1;1;1;0,9883382;1;0,984127;0,9842767;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,97899157;1;1;0,96753246;0,98507464;0,973913;1;1;1;1;1;1;1;1;1;1;1;0,97115386;0,99122804;1
USER_TASK_EV2;1;0,99068326;0,98224854;0,99115044;0,9823529;0,9659864;0,9441624;0;0,9444444;0,9596774;0,9669811;1;1;1;0,94152045;1;0,9925373;0,987988;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,98015875;1;1;0,9702381;0,9769452;0,9130435;1;1;1;1;1;1;1;1;1;1;1;0,9745763;0,9921875;1
USER_TASK_EV3;1;0,98723406;0,9634146;0,9856115;0,9882353;0,9166667;0,95614034;0,9444444;0;0,8108108;0,96062994;1;1;1;0,98523986;1;0,98895025;0,98373985;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,969697;1;1;0,9382716;0,9809886;0,96178347;1;1;1;1;1;1;1;1;1;1;1;0,9032258;0,9756098;1
USER_TASK_EV4;1;0,987013;0,96153843;0,9851852;0,9876543;0,91071427;0,95454544;0,9596774;0,8108108;0;0,9593496;1;1;1;0,98501873;1;0,98870057;0,9834711;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,9689441;1;1;0,9350649;0,980695;0,9741936;1;1;1;1;1;1;1;1;1;1;1;0,8888889;0,972973;1
USER_TASK_EV5;1;0,99065423;0,98214287;0,9911111;0,99415207;0,96575344;0,975;0,9669811;0,96062994;0,9593496;0;1;1;1;0,9887955;1;0,99250937;0,9879518;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,9800797;1;1;0,9700599;0,98567337;0,98367345;1;1;1;1;1;1;1;1;1;1;1;0,974359;0,992126;1
