;Q00_TESTING_Q62;Q40_URBOS;Q46_KAOHSIUNG;Q53_UTRECHT;Q54_LUXEMBURGO;Q56_CANBERRA;Q57_NEWCASTLE;Q59_AMSTERDAM;Q62_DE LIJN WEST FLANDERS;Q64_MAURITIUS;Q66_VITORIA;Q67_LUND;Q68_OSLO;Q70_PARRAMATA;Q72_BIRMINGHAM_3GT;Q75_LISBOA;Q80_MULTIOFERTA
Q00_TESTING_Q62;0;0.8772386;0.83930075;0.8090482;0.80909324;0.71642166;0.8343207;0.7248908;0;0.70469797;0.76222134;0.7379171;0.77718526;0.7568054;0.88357586;0.9385189;0.9270369
Q40_URBOS;0.8772386;0;0.8063704;0.96015745;0.91157705;0.8959722;0.8177877;0.92175406;0.8772386;0.74488914;0.8064125;0.92881405;0.8871934;0.8717769;0.8894253;0.9482631;0.9364993
Q46_KAOHSIUNG;0.83930075;0.8063704;0;0.9214266;0.82141906;0.7795256;0.66790783;0.8979968;0.83930075;0.8037495;0.784019;0.87309235;0.8892281;0.8752629;0.89322233;0.9526429;0.95375484
Q53_UTRECHT;0.8090482;0.96015745;0.9214266;0;0.66800714;0.76036036;0.8894381;0.739229;0.8090482;0.8214563;0.8495467;0.72639334;0.81623375;0.8204662;0.9073885;0.92378163;0.93963027
Q54_LUXEMBURGO;0.80909324;0.91157705;0.82141906;0.66800714;0;0.7701538;0.8698197;0.79919803;0.80909324;0.83386654;0.8517709;0.76046336;0.8400994;0.81685275;0.89612675;0.9362999;0.9339051
Q56_CANBERRA;0.71642166;0.8959722;0.7795256;0.76036036;0.7701538;0;0.82622224;0.7920022;0.71642166;0.6632162;0.7432849;0.7148211;0.75361544;0.7775841;0.8762997;0.94601816;0.93925655
Q57_NEWCASTLE;0.8343207;0.8177877;0.66790783;0.8894381;0.8698197;0.82622224;0;0.87862396;0.8343207;0.8058977;0.73170733;0.8787141;0.8879887;0.8426468;0.90123993;0.9635654;0.9247417
Q59_AMSTERDAM;0.7248908;0.92175406;0.8979968;0.739229;0.79919803;0.7920022;0.87862396;0;0.7248908;0.79717815;0.8347537;0.7351724;0.82494193;0.79144657;0.9213218;0.94187325;0.940523
Q62_DE LIJN WEST FLANDERS;0;0.8772386;0.83930075;0.8090482;0.80909324;0.71642166;0.8343207;0.7248908;0;0.70469797;0.76222134;0.7379171;0.77718526;0.7568054;0.88357586;0.9385189;0.9270369
Q64_MAURITIUS;0.70469797;0.74488914;0.8037495;0.8214563;0.83386654;0.6632162;0.8058977;0.79717815;0.70469797;0;0.6754505;0.72126436;0.7505943;0.7480282;0.8531183;0.9111255;0.9298246
Q66_VITORIA;0.76222134;0.8064125;0.784019;0.8495467;0.8517709;0.7432849;0.73170733;0.8347537;0.76222134;0.6754505;0;0.75688976;0.7841491;0.79825073;0.89354837;0.9376655;0.9485593
Q67_LUND;0.7379171;0.92881405;0.87309235;0.72639334;0.76046336;0.7148211;0.8787141;0.7351724;0.7379171;0.72126436;0.75688976;0;0.7172657;0.72432435;0.84590375;0.9353686;0.9223953
Q68_OSLO;0.77718526;0.8871934;0.8892281;0.81623375;0.8400994;0.75361544;0.8879887;0.82494193;0.77718526;0.7505943;0.7841491;0.7172657;0;0.7420382;0.8748731;0.9409519;0.9312077
Q70_PARRAMATA;0.7568054;0.8717769;0.8752629;0.8204662;0.81685275;0.7775841;0.8426468;0.79144657;0.7568054;0.7480282;0.79825073;0.72432435;0.7420382;0;0.78877974;0.93426776;0.87143487
Q72_BIRMINGHAM_3GT;0.88357586;0.8894253;0.89322233;0.9073885;0.89612675;0.8762997;0.90123993;0.9213218;0.88357586;0.8531183;0.89354837;0.84590375;0.8748731;0.78877974;0;0.81091493;0.75810057
Q75_LISBOA;0.9385189;0.9482631;0.9526429;0.92378163;0.9362999;0.94601816;0.9635654;0.94187325;0.9385189;0.9111255;0.9376655;0.9353686;0.9409519;0.93426776;0.81091493;0;0.73580325
Q80_MULTIOFERTA;0.9270369;0.9364993;0.95375484;0.93963027;0.9339051;0.93925655;0.9247417;0.940523;0.9270369;0.9298246;0.9485593;0.9223953;0.9312077;0.87143487;0.75810057;0.73580325;0
