;Q00_TESTING_Q62;Q40_URBOS;Q46_KAOHSIUNG;Q53_UTRECHT;Q54_LUXEMBURGO;Q56_CANBERRA;Q57_NEWCASTLE;Q59_AMSTERDAM;Q62_DE LIJN WEST FLANDERS;Q64_MAURITIUS;Q66_VITORIA;Q67_LUND;Q68_OSLO;Q70_PARRAMATA;Q72_BIRMINGHAM_3GT;Q75_LISBOA;Q80_MULTIOFERTA
l_AT_pant_up_ant;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
l_AT_hscb_on_ant=0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
l_at_pant_up;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0
l_at_delayed_pant_up;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
l_num_cycles_pant;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0
l_num_cycles_HSCB_on=0;;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
l_DI_PUL_AT_C1_ant;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0
l_DI_PUL_AT_C2_ant;1;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0
l_modo_limpieza_on;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
l_delay_modo_limpieza_on;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
l_pulse_modo_limpieza_on;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
l_cleaning_mode_man_off_cmd;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
l_limp_off_man_value;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
l_cleaning_mode_swith_off_delay;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
l_shut_down_ut_delay;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
l_modo_limpieza_on_ant;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
l_delay_modo_limpieza_on_ant;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
