;ACTIVE_AT;ACTIVE_AX;ACTIVE_CheckCosmos;Start_ACTIVE_CheckCosmos;CosmosStatus_ACTIVE_CheckCosmos;GwsAreOK_ACTIVE_CheckCosmos;trainbus_fnLRS_ACTIVE_CheckCosmos;Address_ACTIVE_CheckCosmos;ReadHeartBeats_ACTIVE_CheckCosmos;CCVarQualityReset_ACTIVE_CheckCosmos;RefreshAdmVars_ACTIVE_CheckCosmos;AdmsAreOK_ACTIVE_CheckCosmos;CcusAreOK_ACTIVE_CheckCosmos;fnLRS_ACTIVE_CheckCosmos;TrazasDepuracion_ACTIVE_CheckCosmos;PrintTrazas_ACTIVE_CheckCosmos;ACTIVE_CM;ACTIVE_CV;ACTIVE_EC;ACTIVE_EQ;ACTIVE_EV1;ACTIVE_EV2;ACTIVE_EV3;ACTIVE_EV4;ACTIVE_GE;ACTIVE_GW;ACTIVE_HMI;ACTIVE_IL;ACTIVE_LZ;ACTIVE_MT;ACTIVE_PU;ACTIVE_RG;ACTIVE_SC;ACTIVE_SC_LOC;ACTIVE_SC_PUL;ACTIVE_SC_UCU;ACTIVE_SIV;UserInit;CV_400_ON_SetInit;CV_400_ON_GetOnC1;CV_400_ON_GetOnC2;CV_400_ON_GetOnM3;CV_AUX_SetInit;CV_AUX_SetInput;CV_AUX_GetAuxR;CV_AUX_GetAuxM3;CV_AUX_GetOutR;CV_AUX_GetOutM3;CV_AUX_AuxSimple;CV_INV_AUX_GetValue;PLC_READ_FILE_GetValue1;PLC_READ_FILE_GetValue2;PLC_READ_FILE_GetValue3;PLC_READ_FILE_GetValue4;PLC_READ_FILE_GetValue5;PLC_READ_FILE_GetValue6;PLC_READ_FILE_GetValue7;PLC_READ_FILE_GetValue8;PLC_READ_FILE_GetValueCV;ReadFile;SC_CHARGE_SetInit;SC_CHARGE_SetValuePanto;SC_CHARGE_GetValue;SC_LOC_EST_SetInit;SC_LOC_EST_SetBaliza;SC_LOC_EST_GetEnEstacion;SC_LOC_EST_GetCodigo_Est;SC_LOC_EST_GetCurrent;SC_LOC_EST_GetTramo;SC_LOC_EST_BalizaEstacion;SC_LOC_PROT_SetInit;SC_LOC_PROT_SetBaliza;SC_LOC_PROT_SetCond;SC_LOC_PROT_GetDES_AT;SC_LOC_PROT_GetAL_SIN;SC_LOC_PROT_GetAL_CON;SC_LOC_PROT_BalizaSIN;SC_LOC_PROT_BalizaCON;SC_LOC_SAL_SetInit;SC_LOC_SAL_SetTransicion;SC_LOC_SAL_GetZonaCON;SC_LOC_SAL_GetZonaSIN;SC_LOC_SAL_GetPtoCarga;SC_LOC_SAL_SetFault;SC_LOC_SAL_GetMinorFault;SC_LOC_SAL_GetMajorFault;SC_PUL_PULSA_SetInit;SC_PUL_PULSA_SetFlanco;SC_PUL_PULSA_SetPulsCont;SC_PUL_PULSA_Set2Puls;SC_PUL_PULSA_GetPulsa;SC_UCU_VAR_Select;SC_UCU_VAR_Acop;SC_UCU_VAR_GetOutput
ACTIVE_AT;0;0.09692132269099202;0.03458760927404029;0.03534777651083238;0.04218928164196123;0.03838844545800076;0.04104903078677309;0.0330672748004561;0.035727860129228434;0.03610794374762448;0.034967692892436335;0.03458760927404029;0.03724819460281262;0.03458760927404029;0.034967692892436335;0.03458760927404029;0.0532117065754466;0.06423413150893197;0.06423413150893197;0.04104903078677309;0.04446978335233751;0.05625237552261497;0.03268719118206005;0.03268719118206005;0.04484986697073356;0.0338274420372482;0.443557582668187;0.05777270999619916;0.0596731280881794;0.09768148992778411;0.04903078677309008;0.053591790193842644;0.07677689091600153;0.043329532497149374;0.05207145572025846;0.04142911440516914;0.06043329532497149;0.0653743823641201;0.03268719118206005;0.032307107563664006;0.032307107563664006;0.032307107563664006;0.03344735841885215;0.035727860129228434;0.032307107563664006;0.032307107563664006;0.032307107563664006;0.032307107563664006;0.03268719118206005;0.03458760927404029;0.032307107563664006;0.032307107563664006;0.032307107563664006;0.032307107563664006;0.032307107563664006;0.032307107563664006;0.032307107563664006;0.032307107563664006;0.032307107563664006;0.04028886354998099;0.0330672748004561;0.0338274420372482;0.0330672748004561;0.03268719118206005;0.03534777651083238;0.037628278221208664;0.032307107563664006;0.032307107563664006;0.035727860129228434;0.0330672748004561;0.03344735841885215;0.0338274420372482;0.0330672748004561;0.036488027366020526;0.032307107563664006;0.032307107563664006;0.03268719118206005;0.03268719118206005;0.0330672748004561;0.0338274420372482;0.03268719118206005;0.03268719118206005;0.03268719118206005;0.03534777651083238;0.032307107563664006;0.032307107563664006;0.03344735841885215;0.03344735841885215;0.03458760927404029;0.03458760927404029;0.03344735841885215;0.03344735841885215;0.0330672748004561;0.0330672748004561
ACTIVE_AX;0.09692132269099202;0;0.06879513492968453;0.06955530216647662;0.07639680729760548;0.072595971113645;0.07525655644241733;0.06727480045610035;0.06993538578487267;0.07031546940326872;0.06917521854808058;0.06879513492968453;0.07145572025845687;0.06879513492968453;0.06917521854808058;0.06879513492968453;0.0870391486126948;0.09730140630938806;0.0984416571645762;0.07601672367920942;0.07867730900798175;0.09083998479665527;0.0668947168377043;0.0668947168377043;0.0790573926263778;0.06803496769289244;0.47434435575826683;0.09236031927023945;0.09388065374382364;0.13036868110984418;0.08133789433675409;0.08779931584948689;0.10870391486126948;0.07753705815279362;0.0862789813759027;0.07563664006081337;0.09464082098061574;0.09958190801976435;0.0668947168377043;0.06651463321930824;0.06651463321930824;0.06651463321930824;0.0676548840744964;0.06993538578487267;0.06651463321930824;0.06651463321930824;0.06651463321930824;0.06651463321930824;0.0668947168377043;0.06879513492968453;0.06651463321930824;0.06651463321930824;0.06651463321930824;0.06651463321930824;0.06651463321930824;0.06651463321930824;0.06651463321930824;0.06651463321930824;0.06651463321930824;0.07449638920562524;0.06727480045610035;0.06803496769289244;0.06727480045610035;0.0668947168377043;0.06955530216647662;0.07183580387685291;0.06651463321930824;0.06651463321930824;0.06993538578487267;0.06727480045610035;0.0676548840744964;0.06803496769289244;0.06727480045610035;0.07069555302166476;0.06651463321930824;0.06651463321930824;0.0668947168377043;0.0668947168377043;0.06727480045610035;0.06803496769289244;0.0668947168377043;0.0668947168377043;0.0668947168377043;0.06955530216647662;0.06651463321930824;0.06651463321930824;0.0676548840744964;0.0676548840744964;0.06879513492968453;0.06879513492968453;0.0676548840744964;0.0676548840744964;0.06727480045610035;0.06727480045610035
ACTIVE_CheckCosmos;0.03458760927404029;0.06879513492968453;0;0.005321170657544659;0.010642341315089319;0.008361839604713038;0.011022424933485367;0.003040668947168377;0.005701254275940707;0.006081337894336754;0.0034207525655644243;0.004561003420752566;0.0068415051311288486;0.004561003420752566;0.0049410870391486126;0.004561003420752566;0.023185100722158875;0.03610794374762448;0.035727860129228434;0.01178259217027746;0.01444317749904979;0.027366020524515394;0.0026605853287723297;0.0026605853287723297;0.014823261117445839;0.003800836183960471;0.4142911440516914;0.03078677309007982;0.03078677309007982;0.06955530216647662;0.019384264538198404;0.02356518434055492;0.048270619536297986;0.01330292664386165;0.022044849866970733;0.011402508551881414;0.03040668947168377;0.03534777651083238;0.0026605853287723297;0.002280501710376283;0.002280501710376283;0.002280501710376283;0.0034207525655644243;0.005701254275940707;0.002280501710376283;0.002280501710376283;0.002280501710376283;0.002280501710376283;0.0026605853287723297;0.004561003420752566;0.002280501710376283;0.002280501710376283;0.002280501710376283;0.002280501710376283;0.002280501710376283;0.002280501710376283;0.002280501710376283;0.002280501710376283;0.002280501710376283;0.010262257696693273;0.003040668947168377;0.003800836183960471;0.003040668947168377;0.0026605853287723297;0.005321170657544659;0.007601672367920942;0.002280501710376283;0.002280501710376283;0.005701254275940707;0.003040668947168377;0.0034207525655644243;0.003800836183960471;0.003040668947168377;0.006461421512732801;0.002280501710376283;0.002280501710376283;0.0026605853287723297;0.0026605853287723297;0.003040668947168377;0.003800836183960471;0.0026605853287723297;0.0026605853287723297;0.0026605853287723297;0.005321170657544659;0.002280501710376283;0.002280501710376283;0.0034207525655644243;0.0034207525655644243;0.004561003420752566;0.004561003420752566;0.0034207525655644243;0.0034207525655644243;0.003040668947168377;0.003040668947168377
Start_ACTIVE_CheckCosmos;0.03534777651083238;0.06955530216647662;0.005321170657544659;0;0.009882174078297225;0.008741923223109084;0.011022424933485367;0.003800836183960471;0.006461421512732801;0.0068415051311288486;0.005701254275940707;0.004561003420752566;0.007601672367920942;0.0049410870391486126;0.005701254275940707;0.0049410870391486126;0.02394526795895097;0.03686811098441657;0.036488027366020526;0.012542759407069556;0.015203344735841885;0.028126187761307486;0.0034207525655644243;0.0034207525655644243;0.015583428354237932;0.004561003420752566;0.4150513112884835;0.031546940326871914;0.031546940326871914;0.07031546940326872;0.020144431774990496;0.024325351577347016;0.04903078677309008;0.014063093880653743;0.02280501710376283;0.012162675788673508;0.031166856708475865;0.03610794374762448;0.0034207525655644243;0.003040668947168377;0.003040668947168377;0.003040668947168377;0.004180919802356519;0.006461421512732801;0.003040668947168377;0.003040668947168377;0.003040668947168377;0.003040668947168377;0.0034207525655644243;0.005321170657544659;0.003040668947168377;0.003040668947168377;0.003040668947168377;0.003040668947168377;0.003040668947168377;0.003040668947168377;0.003040668947168377;0.003040668947168377;0.003040668947168377;0.011022424933485367;0.003800836183960471;0.004561003420752566;0.003800836183960471;0.0034207525655644243;0.006081337894336754;0.008361839604713038;0.003040668947168377;0.003040668947168377;0.006461421512732801;0.003800836183960471;0.004180919802356519;0.004561003420752566;0.003800836183960471;0.007221588749524895;0.003040668947168377;0.003040668947168377;0.0034207525655644243;0.0034207525655644243;0.003800836183960471;0.004561003420752566;0.0034207525655644243;0.0034207525655644243;0.0034207525655644243;0.006081337894336754;0.003040668947168377;0.003040668947168377;0.004180919802356519;0.004180919802356519;0.005321170657544659;0.005321170657544659;0.004180919802356519;0.004180919802356519;0.003800836183960471;0.003800836183960471
CosmosStatus_ACTIVE_CheckCosmos;0.04218928164196123;0.07639680729760548;0.010642341315089319;0.009882174078297225;0;0.01596351197263398;0.01862409730140631;0.010642341315089319;0.01330292664386165;0.013683010262257697;0.011022424933485367;0.012162675788673508;0.014823261117445839;0.012162675788673508;0.012542759407069556;0.012162675788673508;0.03078677309007982;0.04370961611554542;0.043329532497149374;0.019384264538198404;0.022044849866970733;0.034967692892436335;0.010262257696693273;0.010262257696693273;0.02242493348536678;0.011402508551881414;0.4218928164196123;0.03838844545800076;0.03838844545800076;0.07715697453439757;0.026985936906119345;0.031166856708475865;0.055872291904218926;0.02090459901178259;0.029646522234891677;0.019004180919802355;0.03800836183960471;0.04294944887875333;0.010262257696693273;0.009882174078297225;0.009882174078297225;0.009882174078297225;0.011022424933485367;0.01330292664386165;0.009882174078297225;0.009882174078297225;0.009882174078297225;0.009882174078297225;0.010262257696693273;0.012162675788673508;0.009882174078297225;0.009882174078297225;0.009882174078297225;0.009882174078297225;0.009882174078297225;0.009882174078297225;0.009882174078297225;0.009882174078297225;0.009882174078297225;0.017863930064614217;0.010642341315089319;0.011402508551881414;0.010642341315089319;0.010262257696693273;0.012922843025465602;0.015203344735841885;0.009882174078297225;0.009882174078297225;0.01330292664386165;0.010642341315089319;0.011022424933485367;0.011402508551881414;0.010642341315089319;0.014063093880653743;0.009882174078297225;0.009882174078297225;0.010262257696693273;0.010262257696693273;0.010642341315089319;0.011402508551881414;0.010262257696693273;0.010262257696693273;0.010262257696693273;0.012922843025465602;0.009882174078297225;0.009882174078297225;0.011022424933485367;0.011022424933485367;0.012162675788673508;0.012162675788673508;0.011022424933485367;0.011022424933485367;0.010642341315089319;0.010642341315089319
GwsAreOK_ACTIVE_CheckCosmos;0.03838844545800076;0.072595971113645;0.008361839604713038;0.008741923223109084;0.01596351197263398;0;0.012162675788673508;0.0068415051311288486;0.009502090459901177;0.009882174078297225;0.008741923223109084;0.00798175598631699;0.010642341315089319;0.00798175598631699;0.008741923223109084;0.008361839604713038;0.026985936906119345;0.039908779931584946;0.0395286963131889;0.015583428354237932;0.018244013683010263;0.031166856708475865;0.006461421512732801;0.006461421512732801;0.01862409730140631;0.007601672367920942;0.41809198023565186;0.03458760927404029;0.03458760927404029;0.0733561383504371;0.023185100722158875;0.027366020524515394;0.05207145572025846;0.01710376282782212;0.025845686050931203;0.015203344735841885;0.03420752565564424;0.039148612694792854;0.006461421512732801;0.006081337894336754;0.006081337894336754;0.006081337894336754;0.007221588749524895;0.009502090459901177;0.006081337894336754;0.006081337894336754;0.006081337894336754;0.006081337894336754;0.006461421512732801;0.008361839604713038;0.006081337894336754;0.006081337894336754;0.006081337894336754;0.006081337894336754;0.006081337894336754;0.006081337894336754;0.006081337894336754;0.006081337894336754;0.006081337894336754;0.014063093880653743;0.0068415051311288486;0.007601672367920942;0.0068415051311288486;0.006461421512732801;0.009122006841505131;0.011402508551881414;0.006081337894336754;0.006081337894336754;0.009502090459901177;0.0068415051311288486;0.007221588749524895;0.007601672367920942;0.0068415051311288486;0.010262257696693273;0.006081337894336754;0.006081337894336754;0.006461421512732801;0.006461421512732801;0.0068415051311288486;0.007601672367920942;0.006461421512732801;0.006461421512732801;0.006461421512732801;0.009122006841505131;0.006081337894336754;0.006081337894336754;0.007221588749524895;0.007221588749524895;0.008361839604713038;0.008361839604713038;0.007221588749524895;0.007221588749524895;0.0068415051311288486;0.0068415051311288486
trainbus_fnLRS_ACTIVE_CheckCosmos;0.04104903078677309;0.07525655644241733;0.011022424933485367;0.011022424933485367;0.01862409730140631;0.012162675788673508;0;0.009502090459901177;0.012162675788673508;0.012542759407069556;0.011402508551881414;0.010262257696693273;0.01330292664386165;0.010642341315089319;0.011402508551881414;0.011022424933485367;0.029646522234891677;0.042569365260357275;0.04218928164196123;0.018244013683010263;0.02090459901178259;0.0338274420372482;0.009122006841505131;0.009122006841505131;0.021284682630178638;0.010262257696693273;0.4207525655644242;0.03724819460281262;0.03724819460281262;0.07601672367920942;0.025845686050931203;0.030026605853287723;0.05473204104903079;0.01976434815659445;0.028506271379703536;0.017863930064614217;0.03686811098441657;0.04180919802356518;0.009122006841505131;0.008741923223109084;0.008741923223109084;0.008741923223109084;0.009882174078297225;0.012162675788673508;0.008741923223109084;0.008741923223109084;0.008741923223109084;0.008741923223109084;0.009122006841505131;0.011022424933485367;0.008741923223109084;0.008741923223109084;0.008741923223109084;0.008741923223109084;0.008741923223109084;0.008741923223109084;0.008741923223109084;0.008741923223109084;0.008741923223109084;0.016723679209426075;0.009502090459901177;0.010262257696693273;0.009502090459901177;0.009122006841505131;0.01178259217027746;0.014063093880653743;0.008741923223109084;0.008741923223109084;0.012162675788673508;0.009502090459901177;0.009882174078297225;0.010262257696693273;0.009502090459901177;0.012922843025465602;0.008741923223109084;0.008741923223109084;0.009122006841505131;0.009122006841505131;0.009502090459901177;0.010262257696693273;0.009122006841505131;0.009122006841505131;0.009122006841505131;0.01178259217027746;0.008741923223109084;0.008741923223109084;0.009882174078297225;0.009882174078297225;0.011022424933485367;0.011022424933485367;0.009882174078297225;0.009882174078297225;0.009502090459901177;0.009502090459901177
Address_ACTIVE_CheckCosmos;0.0330672748004561;0.06727480045610035;0.003040668947168377;0.003800836183960471;0.010642341315089319;0.0068415051311288486;0.009502090459901177;0;0.004180919802356519;0.004561003420752566;0.0034207525655644243;0.003040668947168377;0.005701254275940707;0.003040668947168377;0.0034207525655644243;0.003040668947168377;0.021664766248574687;0.03458760927404029;0.03420752565564424;0.010262257696693273;0.012922843025465602;0.025845686050931203;0.0011402508551881414;0.0011402508551881414;0.01330292664386165;0.002280501710376283;0.4127708095781072;0.029266438616495628;0.029266438616495628;0.06803496769289244;0.017863930064614217;0.022044849866970733;0.046750285062713795;0.01178259217027746;0.020524515393386546;0.009882174078297225;0.02888635499809958;0.0338274420372482;0.0011402508551881414;0.0007601672367920942;0.0007601672367920942;0.0007601672367920942;0.0019004180919802356;0.004180919802356519;0.0007601672367920942;0.0007601672367920942;0.0007601672367920942;0.0007601672367920942;0.0011402508551881414;0.003040668947168377;0.0007601672367920942;0.0007601672367920942;0.0007601672367920942;0.0007601672367920942;0.0007601672367920942;0.0007601672367920942;0.0007601672367920942;0.0007601672367920942;0.0007601672367920942;0.008741923223109084;0.0015203344735841885;0.002280501710376283;0.0015203344735841885;0.0011402508551881414;0.003800836183960471;0.006081337894336754;0.0007601672367920942;0.0007601672367920942;0.004180919802356519;0.0015203344735841885;0.0019004180919802356;0.002280501710376283;0.0015203344735841885;0.0049410870391486126;0.0007601672367920942;0.0007601672367920942;0.0011402508551881414;0.0011402508551881414;0.0015203344735841885;0.002280501710376283;0.0011402508551881414;0.0011402508551881414;0.0011402508551881414;0.003800836183960471;0.0007601672367920942;0.0007601672367920942;0.0019004180919802356;0.0019004180919802356;0.003040668947168377;0.003040668947168377;0.0019004180919802356;0.0019004180919802356;0.0015203344735841885;0.0015203344735841885
ReadHeartBeats_ACTIVE_CheckCosmos;0.035727860129228434;0.06993538578487267;0.005701254275940707;0.006461421512732801;0.01330292664386165;0.009502090459901177;0.012162675788673508;0.004180919802356519;0;0.0019004180919802356;0.006081337894336754;0.004561003420752566;0.007221588749524895;0.005701254275940707;0.006081337894336754;0.005701254275940707;0.024325351577347016;0.03724819460281262;0.03686811098441657;0.012922843025465602;0.015583428354237932;0.028506271379703536;0.003800836183960471;0.003800836183960471;0.01596351197263398;0.0049410870391486126;0.4154313949068795;0.03192702394526796;0.03192702394526796;0.07069555302166476;0.020524515393386546;0.024705435195743062;0.049410870391486124;0.01444317749904979;0.023185100722158875;0.012542759407069556;0.031546940326871914;0.036488027366020526;0.003800836183960471;0.0034207525655644243;0.0034207525655644243;0.0034207525655644243;0.004561003420752566;0.0068415051311288486;0.0034207525655644243;0.0034207525655644243;0.0034207525655644243;0.0034207525655644243;0.003800836183960471;0.005701254275940707;0.0034207525655644243;0.0034207525655644243;0.0034207525655644243;0.0034207525655644243;0.0034207525655644243;0.0034207525655644243;0.0034207525655644243;0.0034207525655644243;0.0034207525655644243;0.011402508551881414;0.004180919802356519;0.0049410870391486126;0.004180919802356519;0.003800836183960471;0.006461421512732801;0.008741923223109084;0.0034207525655644243;0.0034207525655644243;0.0068415051311288486;0.004180919802356519;0.004561003420752566;0.0049410870391486126;0.004180919802356519;0.007601672367920942;0.0034207525655644243;0.0034207525655644243;0.003800836183960471;0.003800836183960471;0.004180919802356519;0.0049410870391486126;0.003800836183960471;0.003800836183960471;0.003800836183960471;0.006461421512732801;0.0034207525655644243;0.0034207525655644243;0.004561003420752566;0.004561003420752566;0.005701254275940707;0.005701254275940707;0.004561003420752566;0.004561003420752566;0.004180919802356519;0.004180919802356519
CCVarQualityReset_ACTIVE_CheckCosmos;0.03610794374762448;0.07031546940326872;0.006081337894336754;0.0068415051311288486;0.013683010262257697;0.009882174078297225;0.012542759407069556;0.004561003420752566;0.0019004180919802356;0;0.0049410870391486126;0.0049410870391486126;0.007601672367920942;0.006081337894336754;0.006461421512732801;0.006081337894336754;0.024705435195743062;0.037628278221208664;0.03724819460281262;0.01330292664386165;0.01596351197263398;0.02888635499809958;0.004180919802356519;0.004180919802356519;0.016343595591030026;0.005321170657544659;0.41581147852527556;0.032307107563664006;0.032307107563664006;0.07107563664006081;0.02090459901178259;0.02508551881413911;0.04979095400988218;0.014823261117445839;0.02356518434055492;0.012922843025465602;0.03192702394526796;0.03686811098441657;0.004180919802356519;0.003800836183960471;0.003800836183960471;0.003800836183960471;0.0049410870391486126;0.007221588749524895;0.003800836183960471;0.003800836183960471;0.003800836183960471;0.003800836183960471;0.004180919802356519;0.006081337894336754;0.003800836183960471;0.003800836183960471;0.003800836183960471;0.003800836183960471;0.003800836183960471;0.003800836183960471;0.003800836183960471;0.003800836183960471;0.003800836183960471;0.01178259217027746;0.004561003420752566;0.005321170657544659;0.004561003420752566;0.004180919802356519;0.0068415051311288486;0.009122006841505131;0.003800836183960471;0.003800836183960471;0.007221588749524895;0.004561003420752566;0.0049410870391486126;0.005321170657544659;0.004561003420752566;0.00798175598631699;0.003800836183960471;0.003800836183960471;0.004180919802356519;0.004180919802356519;0.004561003420752566;0.005321170657544659;0.004180919802356519;0.004180919802356519;0.004180919802356519;0.0068415051311288486;0.003800836183960471;0.003800836183960471;0.0049410870391486126;0.0049410870391486126;0.006081337894336754;0.006081337894336754;0.0049410870391486126;0.0049410870391486126;0.004561003420752566;0.004561003420752566
